URI,ResourceType,Methods,Actions,Status,Manufacturer,Model,PartNumber,SerialNumber,UUID
/redfish/v1/Chassis/1/Sensors/FANB,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/InletTemp,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/M2_SSD1Temp,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/M2_SSD2Temp,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/MB12V,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/MB3.3VCC,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/MB3.3VSB,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/MB5VCC,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/MB5VSB,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/NICTemp,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/P1_DIMMA~DTemp,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/P1_DIMME~HTemp,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/P2_DIMMA~DTemp,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/P2_DIMME~HTemp,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/PeripheralTemp,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/SystemTemp,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/Sensors/VBAT,#Sensor.v1_11_0.Sensor,"GET,PATCH",,200,,,,,
/redfish/v1/Chassis/1/ThermalSubsystem,#ThermalSubsystem.v1_4_0.ThermalSubsystem,GET,,200,,,,,
/redfish/v1/Chassis/1/ThermalSubsystem/Fans,#FanCollection.FanCollection,GET,,200,,,,,
/redfish/v1/Chassis/1/ThermalSubsystem/Fans/FAN1,#Fan.v1_5_2.Fan,GET,,200,,,,,
/redfish/v1/Chassis/1/ThermalSubsystem/Fans/FAN2,#Fan.v1_5_2.Fan,GET,,200,,,,,
/redfish/v1/Chassis/1/ThermalSubsystem/Fans/FAN3,#Fan.v1_5_2.Fan,GET,,200,,,,,
/redfish/v1/Chassis/1/ThermalSubsystem/Fans/FAN4,#Fan.v1_5_2.Fan,GET,,200,,,,,
/redfish/v1/Chassis/1/ThermalSubsystem/Fans/FAN5,#Fan.v1_5_2.Fan,GET,,200,,,,,
/redfish/v1/Chassis/1/ThermalSubsystem/Fans/FAN6,#Fan.v1_5_2.Fan,GET,,200,,,,,
/redfish/v1/Chassis/1/ThermalSubsystem/Fans/FANA,#Fan.v1_5_2.Fan,GET,,200,,,,,
/redfish/v1/Chassis/1/ThermalSubsystem/Fans/FANB,#Fan.v1_5_2.Fan,GET,,200,,,,,
/redfish/v1/Chassis/1/ThermalSubsystem/ThermalMetrics,#ThermalMetrics.v1_3_2.ThermalMetrics,GET,,200,,,,,
/redfish/v1/ComponentIntegrity,#ComponentIntegrityCollection.ComponentIntegrityCollection,GET,,200,,,,,
/redfish/v1/EventService,#EventService.v1_11_0.EventService,"GET,PATCH",EventService.SubmitTestEvent,200,,,,,
/redfish/v1/EventService/Subscriptions,#EventDestinationCollection.EventDestinationCollection,"GET,POST",,200,,,,,
/redfish/v1/Fabrics,#FabricCollection.FabricCollection,GET,,200,,,,,
/redfish/v1/JsonSchemas,#JsonSchemaFileCollection.JsonSchemaFileCollection,GET,,200,,,,,
/redfish/v1/JsonSchemas/AccountService,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ActionInfo,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ActivateLicense,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/AggregationService,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/AggregationSource,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/AggregationSourceCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Assembly,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/AttributeRegistry,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Bios,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Cable,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/CableCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Certificate,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/CertificateCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/CertificateLocations,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/CertificateService,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Chassis,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ChassisCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ClearLicense,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ComponentIntegrity,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ComponentIntegrityCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ComputerSystem,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ComputerSystemCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/DeviceUpdate,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Drive,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/DriveCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Dump,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
